Reference,Value,Datasheet,Footprint,Qty,DNP
"C1,C3,C5,C6,C8,C9",0.1uF,~,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,6,
C2,0.1nF,~,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,1,
"C4,C10,C11",22uF,~,Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm,3,
C7,0.33uF,~,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,1,
D1,LED_Small,~,LED_THT:LED_D3.0mm,1,
"D2,D3,D4,D5",LED,~,LED_THT:LED_D3.0mm,4,
F1,Polyfuse,~,Diode_SMD:D_1210_3225Metric_Pad1.42x2.65mm_HandSolder,1,
"J1,J2,J3",Conn_01x04,~,-- mixed values --,3,
J4,Conn_01x03,~,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,
J5,Conn_02x08,~,Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical,1,
J6,Micro_SD_Card,http://katalog.we-online.de/em/datasheet/693072010801.pdf,Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5,1,
"JP1,JP4",Jumper_2_Open,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,2,
"JP2,JP3",Jumper_3_Bridged12,~,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,2,
"R1,R3,R5",10k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,
R2,3.3k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
"R4,R10",330R,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,
R6,1.5k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
R7,1.2k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
R8,120R,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
R9,500R,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
SW1,SW_Push,~,Button_Switch_THT:SW_PUSH_6mm,1,
U1,BMP280,https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf,Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,
U2,LM7805_TO220,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF,Package_TO_SOT_THT:TO-220-3_Vertical,1,
U3,ESP32-WROOM-32E,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf,RF_Module:ESP32-WROOM-32D,1,
U4,AMS1117-3.3,http://www.advanced-monolithic.com/pdf/ds1117.pdf,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,
U5,SN65HVD230,http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,
